mass_Msun,mass_kg,schwarzschild_radius_km,hawking_temperature_K
1.3114072834731704e-18,2607694040967.895,3.873030776210656e-18,47049256951.43607
1.3491182563858927e-18,2682681179275.6562,3.9844040776498574e-18,45734121494.58416
1.387913650207318e-18,2759824656027.7456,4.098980042065466e-18,44455747112.86792
1.4278246486650456e-18,2839186479130.983,4.216850765588283e-18,43213106249.28732
1.468883332209429e-18,2920830439598.4834,4.3381109926757324e-18,42005200069.434006
1.5111227037997547e-18,3004822162824.698,4.462858192267199e-18,40831057658.63087
1.5545767154321051e-18,3091229161335.278,4.59119263612981e-18,39689735241.50838
1.5992802954298677e-18,3180120889053.4287,4.7232174794565794e-18,38580315423.400826
1.6452693765192134e-18,3271568797127.16,4.859038843782812e-18,37501906452.94212
1.692580924711708e-18,3365646391361.4897,4.9987659022862606e-18,36453641505.27884
1.7412529690176897e-18,3462429291302.6055,5.1425109675408214e-18,35434677985.3141
1.791324632013884e-18,3561995291020.648,5.2903895817930635e-18,34444196850.43204
1.8428361612901587e-18,3664424421640.642,5.442520609835176e-18,33481401952.15055
1.895828961800573e-18,3769799015671.585,5.599026334548596e-18,32545519396.17664
1.950345629144565e-18,3878203773185.093,5.760032555194646e-18,31635796920.352177
2.0064299838054036e-18,3989725829897.531,5.925668688532308e-18,30751503289.983772
2.0641271063729596e-18,4104454827209.439,6.0960678728430104e-18,29891927710.07847
2.1234833737795976e-18,4222482984259.5166,6.271367074947527e-18,29056379254.00496
2.1845464965778122e-18,4343905172050.082,6.45170720029948e-18,28244186308.12888
2.2473655572900926e-18,4468818989704.631,6.637233206245509e-18,27454696031.96804
2.311991049861322e-18,4597324842917.743,6.828094218541591e-18,26687273833.441048
2.3784749202458462e-18,4729526024661.258,7.024443651220436e-18,25941302858.781616
2.446870608161678e-18,4865528798211.252,7.226439329905818e-18,25216183496.711098
2.517233090045196e-18,5005442482562.171,7.434243618672378e-18,24511332896.47251
2.5896189232413437e-18,5149379540297.715,7.648023550554285e-18,23826184499.333633
2.6640862914642507e-18,5297455667987.919,7.867950961805873e-18,23160187583.188843
2.740695051565451e-18,5449789889186.352,8.09420263002406e-18,22512806819.887264
2.8195067816466348e-18,5606504650100.884,8.326960416241645e-18,21883521844.937637
2.9005848305562877e-18,5767725918016.262,8.566411411107669e-18,21271826839.238037
2.9839943688093204e-18,5933583282546.27,8.812748085270364e-18,20677230122.499836
3.0698024409711778e-18,6104210059797.958,9.066168444085213e-18,20099253758.03467
3.15807801954832e-18,6279743399531.248,9.326876186771827e-18,19537433168.588604
3.2488920604281314e-18,6460324395399.526,9.595080870146806e-18,18991316762.91615
3.3423175599134483e-18,6646098198361.095,9.870998077066061e-18,18460465572.79008
3.438429613396758e-18,6837214133351.051,1.0154849589709637e-17,17944452900.16014
3.5373054757220715e-18,7033825819309.067,1.0446863567850809e-17,17442863974.172024
3.639024623282128e-18,7236091292657.8125,1.0747274732250195e-17,16955295617.775871
3.743668817901723e-18,7444173134333.039,1.1056324553324915e-17,16481355923.651497
3.8513221725576436e-18,7658238600465.697,1.1374261445241859e-17,16020663939.194368
