radius_pix,dx_pix,dy_pix,offset_arcsec,line_flux,peak_channel_SNR,line_SNR
24,24,0,1.344000000000384,-0.0013958969033008042,,-0.4428289558251397
24,24,5,1.3728568752790937,-0.003477153128887181,,-1.10307866266354
24,22,9,1.3311048042889082,0.0003956035654457818,,0.12549975101514144
24,20,13,1.3358083694905567,0.002360526852547433,,0.7488444446283924
24,17,17,1.3463313113795712,0.003872295414469637,,1.2284320790319487
24,13,20,1.3358083694905567,-0.00041650023207366626,,-0.13212892903048806
24,9,22,1.3311048042889082,-0.0015455730639581627,,-0.4903116443955369
24,5,24,1.3728568752790937,0.0028822458798711155,,0.9143525789021656
24,0,24,1.344000000000384,0.0002798834978197924,,0.08878916258009514
24,-5,24,1.3728568752790937,-0.0025763267365250466,,-0.8173039684392278
24,-9,22,1.3311048042889082,-0.0017429259407667633,,-0.5529191107202956
24,-13,20,1.3358083694905567,-0.0009873562122463594,,-0.31322508092297197
24,-17,17,1.3463313113795712,-0.0024913210102588236,,-0.7903370793282793
24,-20,13,1.3358083694905567,0.000197680999451744,,0.062711558687957
24,-22,9,1.3311048042889082,0.00048167594990874496,,0.15280502266305798
24,-24,5,1.3728568752790937,0.0003092999857555643,,0.09812113588402444
24,-24,0,1.344000000000384,-4.584627262234814e-05,,-0.014544094901150585
24,-24,-5,1.3728568752790937,0.0006736208991723384,,0.2136968988878095
24,-22,-9,1.3311048042889082,-0.0021292060482401677,,-0.6754611238474709
24,-20,-13,1.3358083694905567,-0.0026824415424841,,-0.8509674206679121
24,-17,-17,1.3463313113795712,0.0005745415726606754,,0.18226535505440145
24,-13,-20,1.3358083694905567,-0.0010756070372879988,,-0.3412214326674925
24,-9,-22,1.3311048042889082,-0.0033737643003476296,,-1.0702799890094241
24,-5,-24,1.3728568752790937,-0.0033594475855951555,,-1.0657382095773666
24,0,-24,1.344000000000384,-0.002711757421177081,,-0.8602674770832617
24,5,-24,1.3728568752790937,0.0010317986582064169,,0.32732383126210535
24,9,-22,1.3311048042889082,0.0003465101286105937,,0.10992553824900779
24,13,-20,1.3358083694905567,0.0047232726686715935,,1.498392824713173
24,17,-17,1.3463313113795712,0.003313776113106538,,1.0512495675972124
24,20,-13,1.3358083694905567,0.001962825902369976,,0.622679327361277
24,22,-9,1.3311048042889082,0.004362749410466131,,1.384021815217926
24,24,-5,1.3728568752790937,0.004896667207711487,,1.5533998402651454
30,30,0,1.68000000000048,0.001288717125378027,,0.4088276559935532
30,29,6,1.6583944042360887,-0.005075067118306952,,-1.6099947406059079
30,28,11,1.6846602031275097,-0.0013448528407534717,,-0.42663593407299
30,25,17,1.6930162432775528,0.00010591714583342126,,0.03360074729192643
30,21,21,1.6631151493512348,0.0015313229339903888,,0.4857909880640557
30,17,25,1.6930162432775528,-0.0011276804950414708,,-0.35774101578903006
30,11,28,1.6846602031275097,-0.004929058373515067,,-1.5636754889157303
30,6,29,1.6583944042360887,0.0010557403450976361,,0.33491899977466594
30,0,30,1.68000000000048,0.00778089597209709,,2.468381461811503
30,-6,29,1.6583944042360887,-0.0012979622041797655,,-0.41176052917538647
30,-11,28,1.6846602031275097,-0.005846883663296185,,-1.854842847867951
30,-17,25,1.6930162432775528,-0.0014014135630487515,,-0.4445790397103102
30,-21,21,1.6631151493512348,-0.0009976029866810652,,-0.3164757281683142
30,-25,17,1.6930162432775528,-0.0006973460617018839,,-0.221223378046046
30,-28,11,1.6846602031275097,-0.00212056312157391,,-0.6727192750892698
30,-29,6,1.6583944042360887,0.0017269568342994975,,0.5478531329065774
30,-30,0,1.68000000000048,-0.0008410812188407672,,-0.2668213655483207
30,-29,-6,1.6583944042360887,-0.002157764087346047,,-0.6845207661518316
30,-28,-11,1.6846602031275097,-0.001375869744841976,,-0.43647561723151124
30,-25,-17,1.6930162432775528,-0.003018739272126994,,-0.9576532168122971
30,-21,-21,1.6631151493512348,0.004106076159309708,,1.3025957818704264
30,-17,-25,1.6930162432775528,0.004059899758525356,,1.2879469583830006
30,-11,-28,1.6846602031275097,0.0019208370724756317,,0.6093589527301247
30,-6,-29,1.6583944042360887,-0.0024506087868749705,,-0.7774216904283109
30,0,-30,1.68000000000048,0.00018134884796584057,,0.05753040987117929
30,6,-29,1.6583944042360887,0.0059631645585514915,,1.8917313510994993
30,11,-28,1.6846602031275097,0.00014753696966725164,,0.04680405986205952
30,17,-25,1.6930162432775528,-0.0019636822291782367,,-0.6229509851788783
30,21,-21,1.6631151493512348,-0.0002986715153380699,,-0.09474940087560942
30,25,-17,1.6930162432775528,-0.00046238492246703194,,-0.14668521143730945
30,28,-11,1.6846602031275097,0.002174663782599784,,0.6898819603670198
30,29,-6,1.6583944042360887,0.004298980202186375,,1.3637919172580228
36,36,0,2.016000000000576,0.0028774335581149392,,0.9128259364879995
36,35,7,1.998815649328943,0.0034936606394365233,,1.1083154417140215
36,33,14,2.0074262128412848,0.0011019239442756892,,0.3495701068527772
36,30,20,2.019108714260411,-0.00037631538656697017,,-0.11938084345651347
