radius_pix,dx_pix,dy_pix,offset_arcsec,line_flux,peak_channel_flux,mask_pixels,peak_channel_SNR,line_SNR
24,-24,5,1.3728568752790937,0.001337801,0.0015075938,112,,0.38107163
24,-24,0,1.344000000000384,1.01652695e-05,0.00079999916,112,,0.0028955694
24,-24,-5,1.3728568752790937,-0.0017339764,0.0021704487,112,,-0.49392188
24,-22,-9,1.3311048042889082,-0.0020257728,0.0030619083,112,,-0.5770399
24,-20,-13,1.3358083694905567,-0.0036104298,0.0041988264,112,,-1.0284282
24,-17,-17,1.3463313113795712,-8.8493805e-05,0.0035770352,112,,-0.025207395
24,-13,-20,1.3358083694905567,-0.0009916415,0.0016875512,112,,-0.28246835
24,-9,-22,1.3311048042889082,-0.002604469,0.0017243957,112,,-0.741881
24,-5,-24,1.3728568752790937,-0.0038221485,0.0011214835,112,,-1.0887362
24,0,-24,1.344000000000384,-0.003132387,0.00058783963,112,,-0.8922581
24,5,-24,1.3728568752790937,0.00014480692,0.0014191053,112,,0.041248143
24,9,-22,1.3311048042889082,0.00093185005,0.0013264706,112,,0.2654368
24,13,-20,1.3358083694905567,0.0038380877,0.0021135833,112,,1.0932764
24,17,-17,1.3463313113795712,0.0045546177,0.003022815,112,,1.2973795
24,20,-13,1.3358083694905567,0.003867622,0.0019106716,112,,1.1016892
24,22,-9,1.3311048042889082,0.0044221296,0.0017002197,112,,1.2596403
24,24,-5,1.3728568752790937,0.0051953094,0.0022699402,112,,1.47988
30,30,0,1.68000000000048,0.00092953467,0.00084659614,112,,0.26477724
30,29,6,1.6583944042360887,-0.0037726862,0.002235358,112,,-1.0746468
30,28,11,1.6846602031275097,-0.0011061842,0.0013243946,112,,-0.31509575
30,25,17,1.6930162432775528,0.0009785641,0.0021226814,112,,0.27874327
30,21,21,1.6631151493512348,0.00079967594,0.002639168,112,,0.22778709
30,17,25,1.6930162432775528,-0.0023656301,0.0018416937,112,,-0.673848
30,11,28,1.6846602031275097,-0.003382125,0.0018621248,112,,-0.9633958
30,6,29,1.6583944042360887,0.0024058034,0.002407183,112,,0.6852913
30,0,30,1.68000000000048,0.004798157,0.0027148805,112,,1.3667514
30,-6,29,1.6583944042360887,-0.00079642236,0.0016177213,112,,-0.22686031
30,-11,28,1.6846602031275097,-0.0052166427,0.00085376203,112,,-1.4859568
30,-17,25,1.6930162432775528,-0.0018141717,0.0009189049,112,,-0.5167655
30,-21,21,1.6631151493512348,-0.0017617547,0.001116991,112,,-0.5018345
