z,score,contributing_lines
2.2075,0.2768646144367115,5
2.208,0.2993540444834886,5
2.2085,0.34725101390169794,5
2.209,0.405527736622263,5
2.2095,0.44463709579059396,5
2.21,0.44915955805827074,5
2.2105,0.4549240220642929,5
2.211,0.4409899251558502,5
2.2115,0.4145084969832339,5
2.2119999999999997,0.4080861997715557,5
2.2125,0.4010038409739324,5
2.213,0.42675877784238864,5
2.2135,0.40344408395792725,5
2.214,0.38120268262930057,5
2.2145,0.35034202628978883,5
2.215,0.330772673928246,5
2.2155,0.3826379444092595,5
2.216,0.43870100150273367,5
2.2165,0.49255680960002357,5
2.217,0.5067538396839526,5
2.2175,0.4905442278909268,5
2.218,0.465853811869616,5
2.2185,0.45444522207497023,5
2.219,0.4473856700000492,5
2.2195,0.43911191832122287,5
2.2199999999999998,0.3921273683751662,5
2.2205,0.3269166797759993,5
2.221,0.28234251324959514,5
2.2215,0.28427351181379706,5
2.222,0.3288737294666726,5
2.2225,0.3904558637286637,5
2.223,0.455586278351079,5
2.2235,0.46749912921321163,5
2.224,0.4479151559247942,5
2.2245,0.41210280616427336,5
2.225,0.39114871379444444,5
2.2255,0.37694866929000054,5
2.226,0.35944815935217345,5
2.2265,0.3131243244618359,5
2.227,0.2774921926307758,5
2.2275,0.23063845420768714,5
2.2279999999999998,0.19282099946432996,5
2.2285,0.19248530172954362,5
2.229,0.194438612347733,5
2.2295,0.21679054363753467,5
2.23,0.21104469971994616,5
2.2305,0.2039298438522245,5
2.231,0.16561197783254758,5
2.2315,0.160925432407518,5
2.232,0.17142970105340494,5
2.2325,0.20203274658969717,5
2.233,0.22217350774190467,5
2.2335,0.23183751134314856,5
2.234,0.25062749529671585,5
2.2345,0.2468020496378456,5
2.235,0.27335000740135296,5
2.2355,0.32015656351581745,5
2.2359999999999998,0.3570944071106232,5
2.2365,0.34183266839328186,5
2.237,0.31759882567474196,5
2.2375,0.28725401062315525,5
2.238,0.27302247082533987,5
2.2385,0.2509546504082539,5
2.239,0.26327881727148145,5
2.2395,0.2777090776238237,5
2.24,0.27224286483648064,5
2.2405,0.255163950455325,5
2.241,0.2336922431580585,5
2.2415,0.16245792020247946,5
2.242,0.09121843780316631,5
2.2425,0.011247194339055782,5
2.243,-0.008211536114537905,5
2.2435,-0.023428459223453917,5
2.2439999999999998,-0.08095129913164976,5
2.2445,-0.11506008502125191,5
2.245,-0.1307079122315972,5
2.2455,-0.1219090671665945,5
2.246,-0.10566970809790414,5
2.2465,-0.11247473872617855,5
2.247,-0.11163148673993672,5
2.2475,-0.10871272773160247,5
2.248,-0.09099730246873348,5
2.2485,-0.07572654420832596,5
2.249,-0.04534746018023142,5
2.2495,-0.05134801796466017,5
2.25,-0.0526570878896848,5
2.2505,-0.05449541100958007,5
2.251,-0.12598198110634007,5
2.2515,-0.21131743182423202,5
2.252,-0.2928525163745237,5
2.2525,-0.37208708026537557,5
2.253,-0.44442640887662416,5
2.2535,-0.5355146589685861,5
2.254,-0.5921138447017281,5
2.2545,-0.6122839065267371,5
2.255,-0.618080546810133,5
2.2555,-0.6202349712010137,5
2.2560000000000002,-0.5811456714824663,5
2.2565,-0.5533279153474564,5
2.257,-0.5359301274361536,5
2.2575,-0.5302414217760498,5
2.258,-0.5263468439420826,5
2.2585,-0.5023918838181669,5
2.259,-0.43306252164651804,5
2.2595,-0.3543778447251954,5
2.26,-0.30204617839220166,5
2.2605,-0.29883302485219093,5
2.261,-0.31661387570499944,5
2.2615,-0.33638047759095835,5
2.262,-0.3414380324072733,5
2.2625,-0.3802352703453732,5
2.263,-0.43482277064339153,5
2.2635,-0.477979564911035,5
2.2640000000000002,-0.4825225736336319,5
2.2645,-0.4565783441198779,5
2.265,-0.46485080319041366,5
2.2655,-0.4900178943170066,5
2.266,-0.5218893036151969,5
2.2665,-0.5462618154672727,5
2.267,-0.5707169080758819,5
2.2675,-0.5775289218285827,5
2.268,-0.5820614166970494,5
2.2685,-0.610768716134517,5
2.269,-0.5716017791148745,5
