redshift_z,E_z,comoving_distance_Gly
0.0017316004481436266,1.0008194230632166,0.025110569874146466
0.0017379929466351616,1.0008224521141564,0.02520323171704654
0.0017444090441255352,1.0008254923770212,0.025296235354946572
0.0017508488277344757,1.0008285438934212,0.025389582047554073
0.001757312384903335,1.0008316067051215,0.02548327305921161
0.0017637998033962635,1.0008346808540438,0.025577309658913645
0.0017703111713014104,1.0008377663822652,0.02567169312032371
0.001776846577032117,1.0008408633320203,0.02576642472179147
0.0017834061093281158,1.0008439717457016,0.025861505746369907
0.0017899898572567422,1.0008470916658596,0.025956937481832653
0.0017965979102141341,1.000850223135203,0.026052721220691157
0.0018032303579264522,1.0008533661966006,0.026148858260212158
0.001809887290451096,1.000856520893081,0.02624534990243507
0.0018165687981779258,1.000859687267833,0.026342197454189486
0.0018232749718304975,1.0008628653642073,0.02643940222711283
0.0018300059024672823,1.0008660552257154,0.026536965537667812
0.0018367616814829112,1.0008692568960325,0.02663488870716025
0.0018435424006094144,1.0008724704189953,0.026733173061756772
0.0018503481519174644,1.0008756958386056,0.026831819932502634
0.0018571790278176339,1.0008789331990284,0.026930830655339678
0.0018640351210616397,1.0008821825445942,0.02703020657112415
0.0018709165247436086,1.0008854439197983,0.0271299490256448
0.0018778233323013412,1.0008887173693033,0.027230059369640958
0.001884755637517577,1.0008920029379371,0.027330538958820618
0.0018917135345212766,1.000895300670696,0.027431389153878796
0.0018986971177888878,1.000898610612744,0.027532611320515606
0.0019057064821456362,1.0009019328094135,0.02763420682945475
0.001912741722766811,1.0009052673062067,0.02773617705646187
0.0019198029351790553,1.000908614148795,0.02783852338236302
0.001926890215261671,1.0009119733830212,0.027941247193063318
0.0019340036592479088,1.0009153450548987,0.02804434987956537
0.0019411433637262828,1.0009187292106128,0.0281478328379881
0.0019483094256418803,1.0009221258965215,0.02825169746958543
0.0019555019422976758,1.0009255351591562,0.028355945180765094
0.00196272101135586,1.000928957045221,0.028460577383107633
0.001969966730839155,1.0009323916015958,0.028565595493385162
0.0019772391991321517,1.0009358388753349,0.02867100093358053
0.001984538514982645,1.0009392989136685,0.028776795130906356
0.001991864777502972,1.0009427717640031,0.02888297951782419
0.001999218086171366,1.0009462574739227,0.02898955553206383
0.0020065985408332953,1.0009497560911886,0.029096524616642475
0.002014006241702826,1.0009532676637414,0.029203888219884178
0.0020214412893639826,1.0009567922396994,0.029311647795439297
0.002028903784772109,1.000960329867362,0.029419804802303943
0.0020363938292552518,1.0009638805952084,0.029528360704839718
0.002043911524515519,1.0009674444718992,0.029637316972793155
0.0020514569726304715,1.000971021546277,0.029746675081315562
0.002059030276054506,1.0009746118673668,0.029856436510982794
0.0020666315376202523,1.0009782154843765,0.029966602747815207
0.0020742608605399592,1.0009818324466986,0.030077175283297446
0.0020819183484069013,1.0009854628039092,0.03018815561439853
0.002089604105196788,1.0009891066057708,0.03029954524359198
0.0020973182352691682,1.0009927639022318,0.030411345678875882
0.00210506084336886,1.0009964347434261,0.03052355843379328
0.0021128320346273585,1.0010001191796765,0.030636185027452287
0.00212063191456427,1.0010038172614935,0.03074922698454657
0.0021284605890887435,1.0010075290395757,0.030862685835375776
0.002136318164500917,1.0010112545648122,0.03097656311586616
0.0021442047474933452,1.001014993888282,0.031090860367590983
0.002152120445152461,1.0010187470612553,0.031205579137791376
0.0021600653649600223,1.0010225141351936,0.03132072097939698
0.0021680396147945747,1.001026295161751,0.03143628745104681
0.0021760433029329213,1.0010300901927753,0.03155228011711025
0.002184076538051581,1.0010338992803076,0.03166870054770784
0.002192139429228272,1.0010377224765836,0.03178555031873246
0.002200232085943393,1.001041559834035,0.031902831011870456
0.0022083546180815053,1.001045411405289,0.03202054421462279
0.0022165071359328344,1.00104927724317,0.03213869152032645
0.0022246897501947546,1.0010531574007,0.032257274528175624
0.0022329025719733005,1.0010570519310993,0.032376294843243295
0.0022411457127846732,1.001060960887787,0.03249575407650267
0.002249419284556753,1.0010648843243826,0.0326156538448488
0.0022577233996306286,1.0010688222947057,0.03273599577112037
0.0022660581707621068,1.001072774852778,0.03285678148412123
0.0022744237111232547,1.0010767420528224,0.03297801261864236
0.0022828201343039335,1.0010807239492656,0.0330996908154838
0.0022912475543133384,1.0010847205967377,0.03322181772147654
0.002299706085581555,1.0010887320500728,0.03334439498950475
0.0023081958429611023,1.0010927583643108,0.03346742427852775
0.0023167169417284967,1.001096799594697,0.03359090725360235
0.0023252694975858194,1.0011008557966847,0.033714845585905116
0.002333853626662282,1.0011049270259333,0.03383924095275476
0.002342469445515815,1.0011090133383114,0.03396409503763473
0.002351117071134635,1.0011131147898964,0.03408940953021556
0.0023597966209388424,1.001117231436976,0.03421518612637765
0.0023685082127820143,1.0011213633360487,0.03434142652823395
0.0023772519649528025,1.001125510543824,0.034468132444152706
0.0023860279961765477,1.001129673117224,0.0345953055887805
0.002394836425616879,1.001133851113384,0.03472294768306502
0.00240367737287734,1.0011380445896536,0.03485106045427821
0.0024125509580030127,1.0011422536035968,0.03497964563603941
0.0024214573014821423,1.0011464782129926,0.035108704968338525
0.002430396524247784,1.0011507184758375,0.035238240197559424
0.0024393687476794317,1.0011549744503447,0.03536825307650318
0.0024483740936046745,1.0011592461949457,0.035498745364411645
0.002457412684300848,1.0011635337682905,0.03562971882699096
0.002466484642496695,1.0011678372292487,0.035761175236435204
0.002475590091374037,1.0011721566369116,0.03589311637145019
0.002484729154569437,1.0011764920505901,0.03602554401727714
0.002493901956175885,1.0011808435298186,0.03615845996571668
0.0025031086207444823,1.0011852111343547,0.03629186601515279
0.0025123492732861278,1.001189594924179,0.036425763970576855
0.0025216240392732284,1.0011939949594972,0.036560155643611966
0.0025309330446413856,1.001198411300741,0.036695042852536934
0.0025402764157911165,1.0012028440085685,0.03683042742231078
0.0025496542795895648,1.0012072931438647,0.0369663111845971
0.0025590667633722326,1.0012117587677432,0.03710269597778867
0.002568513994944696,1.0012162409415464,0.03723958364703188
0.00257799610258435,1.001220739726847,0.03737697604425153
0.0025875132150421465,1.0012252551854486,0.03751487502817562
0.0025970654615443413,1.0012297873793858,0.0376532824643601
0.0026066529717942597,1.0012343363709262,0.03779220022521407
0.0026162758759740398,1.0012389022225714,0.037931630190024504
0.002625934304746412,1.0012434849970562,0.03807157424498162
0.002635628389256469,1.001248084757352,0.038212034283204
0.002645358261133455,1.001252701566665,0.03835301220476406
0.002655124052492538,1.0012573354884395,0.03849450991671321
0.002664925895936615,1.001261986586357,0.03863652933310757
0.002674763924558108,1.0012666549243385,0.03877907237503347
0.0026846382719407716,1.0012713405665445,0.03892214097063313
0.0026945490721615134,1.0012760435773755,0.03906573705513057
0.0027044964597922024,1.001280764021475,0.0392098625708573
0.002714480569901505,1.0012855019637277,0.03935451946727837
0.002724501538056716,1.0012902574692626,0.039499709701018466
0.0027345595003255983,1.0012950306034523,0.03964543523588797
0.002744654593278239,1.0012998214319153,0.0397916980429094
0.00275478695398889,1.0013046300205162,0.0399385001003435
0.002764956720037838,1.0013094564353666,0.040085843393715855
0.0027751640295132717,1.0013143007428262,0.04023372991584338
0.002785409021013152,1.0013191630095044,0.0403821616668609
0.002795691833647108,1.0013240433022594,0.040531140654248045
0.002806012607038305,1.0013289416882016,0.04068066889285584
