redshift_z,comoving_distance_Gly,luminosity_distance_Gly,universe_age_Myr,shell_volume_Gpc3_per_z_all_sky,shell_volume_norm,cumulative_R3_volume_fraction_to_46p5Gly,Lmin_over_Lstar_toy,schechter_visible_fraction,toy_detection_fraction,raw_detected_proxy_norm,volume_corrected_proxy_norm,cumulative_detected_proxy
0.6822234636871508,8.238775594602021,13.85946161729258,7399.976850677977,241.1613547812837,0.45558695750328265,0.005561976669501351,0.00046545893047131277,0.5595618436978536,0.5562469771611516,0.9050108479643149,0.5587776700686962,0.09679086920559796
0.693391061452514,8.347953474361155,14.136349794904637,7335.2901475897515,245.918068348493,0.46457304345293604,0.005786036928935372,0.0004810493545675649,0.55234688176381,0.5490603197091601,0.9109381770357814,0.5515583163077099,0.09968239451234413
0.7045586592178771,8.456391912717198,14.414416060562129,7271.463875107788,250.63967008149018,0.47349279832008423,0.0060144573279577816,0.0004968834012201883,0.5454999546986389,0.5422398118693323,0.9168950267443293,0.5447067779876731,0.10259282821717369
0.7157262569832402,8.564096238687425,14.693644784047422,7208.48367936568,255.32497772181893,0.48234398865594946,0.00624720501392405,0.000512959891762606,0.5387299599605712,0.5354960716404445,0.9224184860490725,0.5379323565393481,0.1055207946402086
0.7268938547486034,8.671071798347372,14.974020602649997,7146.335475966971,259.9728828490677,0.4911245205019727,0.006484246080669594,0.0005292776338216568,0.5323134424612971,0.5291039725625672,0.9279989364140513,0.5315111760633421,0.1084664746840579
0.7380614525139665,8.777323951940593,15.255528417095494,7085.005444705314,264.58234833076733,0.49983243457231996,0.006725545635264448,0.0005458354223862535,0.5259660397731778,0.5227808481603288,0.9331660752687406,0.525159284069125,0.11142855640382601
0.7492290502793296,8.882858071098468,15.538153387473654,7024.480024390615,269.1524058198118,0.5084659015261656,0.006971067862443596,0.0005626320408351113,0.5199586001385584,0.5167958956555847,0.9384167004882523,0.5191471025141972,0.114407304804255
0.7603966480446928,8.987679536167809,15.821880929169689,6964.7459077783715,273.68215330095063,0.5170232173326795,0.007220776086757411,0.0005796662619246028,0.513744285626215,0.510605592593443,0.9427801967546445,0.5129286361420544,0.11739990393593912
0.7715642458100559,9.09179373364394,16.106696708803522,6905.790036599617,278.1707526876736,0.5255027987312119,0.007474632832487821,0.0005969368487377942,0.50786281209384,0.5047463615098898,0.9472466297009072,0.5070427479886103,0.12040668054335166
0.782731843575419,9.19520605370703,16.392586640180987,6847.59959668893,282.61742747059554,0.5339031787887683,0.007732599881377413,0.0006144425555957246,0.5023052394849499,0.4992092923624183,0.9518313520367955,0.501480487474362,0.12342801010396433
0.7938994413407822,9.297921887859175,16.67953688026081,6790.162013208212,287.02146041823715,0.542223002556469,0.007994638328218867,0.0006321821289319754,0.49680236311513776,0.49372682243933386,0.9560475601879223,0.49597307458831363,0.12646272286979862
0.8050670391061453,9.399946626659942,16.96753382514086,6733.464945963986,291.3821913309209,0.5504610228263497,0.00826070863435366,0.000650154308131575,0.49135364738141984,0.48829841672045604,0.9599016258704698,0.4905199718761647,0.12950966931815486
0.8162346368715083,9.501285657557872,17.256564106067092,6677.496284816069,295.69901484831496,0.5586160959895098,0.008530770679128859,0.0006683578263352745,0.48595856197545356,0.48292354547695954,0.9634000491870716,0.48512064719904363,0.13256772055913987
0.8274022346368715,9.601944362815585,17.54661458546811,6622.244145175627,299.9713783110039,0.5666871779963261,0.008804783809361767,0.0006867914112102208,0.4808697653298109,0.477853279502953,0.9670586092808877,0.4800273136189796,0.1356373849033675
0.8385698324022346,9.701928117525963,17.837672353018238,6567.696863590655,304.1987796763061,0.5746733204191449,0.009082706886862068,0.0007054537856880397,0.4758286874948992,0.47283065428397325,0.9703792433906645,0.4749818375396073,0.13871758969677697
