scale_factor_a,redshift_z,radiation_term,matter_term,curvature_term,lambda_term,H_over_H0_squared,H_over_H0
0.00013850434656429068,7218.990020571823,249996665784.9098,118555128520.69502,-4795.799542538418,0.685,368551789510.49023,607084.6642030173
0.0001395105445453612,7166.916971859104,242862069709.2172,116008404046.54462,-4726.871101822852,0.685,358870469029.57574,599057.9846972877
0.00014052405229253093,7115.2194918652485,235931086193.7301,113516386657.85027,-4658.933346789066,0.685,349447468193.33203,591140.8192582644
0.00014154492290934553,7063.894871859617,229197904387.45792,111077901172.43997,-4591.972038639405,0.685,340275800968.61084,583331.6389230151
0.0001425732098851341,7012.940422647864,222656879273.9204,108691797652.64381,-4525.9731432257395,0.685,331348672401.27606,575628.9363828716
0.0001436089670978117,6962.35347443104,216302526938.43607,106356950863.00815,-4460.922828108117,0.685,322659473341.20636,568031.2256744398
0.0001446522488167025,6912.1313766657,210129519970.47467,104072259739.65825,-4396.807459655662,0.685,314201775314.0105,560537.0418750312
0.0001457031097053831,6862.271497925032,204132682997.22327,101836646871.0605,-4333.61360018917,0.685,305969325535.35516,553144.9408024583
0.00014676160482454676,6812.771225760976,198306988344.61688,99649057989.9378,-4271.328005164758,0.685,297956042063.9117,545853.4987191267
0.0001478277896348883,6763.627966567347,192647551822.1986,97508461476.09987,-4209.937620397987,0.685,290156009089.04584,538661.3120403634
0.00014890172000001006,6714.839145443938,187149628628.275,95413847869.95305,-4149.429579327899,0.685,282563472349.48346,531566.997046923
0.00014998345218934892,6666.4022060616035,181808609371.9325,93364229396.46071,-4089.7912003203523,0.685,275172834679.287,524569.1896016073
0.00015107304288112448,6618.314610528329,176620016208.5816,91358639499.32982,-4031.0099840101493,0.685,267978651677.58646,517666.5448699447
0.0001521705491653089,6570.573839256243,171579499085.7866,89396132385.20348,-3973.073610681328,0.685,260975627498.60144,510857.73704486596
0.0001532760285466181,6523.177390829612,166682832096.2357,87475782577.64497,-3915.9699376851304,0.685,254158610758.59573,504141.45907532313
0.00015438953894752474,6476.122781873769,161925909934.7925,85596684480.70299,-3859.686996895073,0.685,247522590556.49347,497516.42239879223
0.00015551113871129315,6429.407546925,157304744456.65894,83757951951.85178,-3804.2129921985993,0.685,241062692604.98273,490981.3566776062
0.00015664088660503645,6383.029238301357,152815461333.76306,81958717884.1051,-3749.536297024767,0.685,234774175469.01688,484535.0095390599
0.00015777884182279509,6336.985425974429,148454296806.57263,80198133797.1079,-3695.645451907513,0.685,228652426908.7201,478176.1463192409
0.00015892506398863915,6291.273697441994,144217594528.60254,78475369437.01,-3642.5291620838716,0.685,222692960323.76837,471903.54981051834
0.00016007961315979202,6245.8916576016245,140101802500.9806,76789612384.93658,-3590.176295126775,0.685,216891411296.42587,465716.0200126531
0.00016124254982977708,6200.836928625197,136103470094.49577,75140067673.86906,-3538.5758786118477,0.685,211243534230.47397,459612.3738874683
0.0001624139349315874,6156.107149834303,132219245156.63287,73525957413.7553,-3487.7170978177437,0.685,205745199083.35608,453591.44511703047
0.00016359382984087838,6111.699977576555,128445871201.16917,71946520424.67334,-3437.5892934595263,0.685,200392388188.93823,447652.0838652918
0.00016478229637918357,6067.613085102793,124780184677.97678,70401011877.87526,-3388.181959454637,0.685,195181193168.3551,441793.1565431442
0.00016597939681715383,6023.844162445172,121219112320.74129,68888702944.54184,-3339.484740720969,0.685,190107811926.4834,436013.5455768357
0.00016718519387782008,5980.390916296127,117759668570.3731,67408880452.08243,-3291.4874310065843,0.685,185168545731.65308,430312.1491797008
0.00016839975073987973,5937.251069888218,114398953071.95158,65960846547.81795,-3244.179970750628,0.685,180359796376.27457,424687.88112715736
0.00016962313104100692,5894.4223628748305,111134148243.1035,64543918369.88859,-3197.552444974988,0.685,175678063416.12463,419139.670534924
0.0001708553988811869,5851.9025512117505,107962516911.77663,63157427725.230675,-3151.5950812062533,0.685,171119941486.0972,413666.4616404105
0.0001720966188260747,5809.6894070395765,104881400021.42827,61800720774.47101,-3106.298247427539,0.685,166682117690.28604,408267.2135872363
0.0001733468559103779,5767.780718567,101888214401.7055,60473157723.590355,-3061.652450059756,0.685,162361369064.32843,402940.90021283325
0.0001746061756412643,5726.174289954909,98980450602.74687,59174112522.21014,-3017.6483319718873,0.685,158154560107.99365,397686.50983908627
0.00017587464400179432,5684.867941201335,96155670791.29039,57902972568.360405,-2974.276670519862,0.685,154058640386.0591,392503.0450659703
0.00017715232745437793,5643.859508027238,93411506706.8247,56659138419.59002,-2931.5283756136273,0.685,150070642195.57135,387389.5225681399
0.00017843929294425733,5603.146841763099,90745657676.06825,55442023510.282166,-2889.394487811984,0.685,146187678297.6409,382344.972894428
0.00017973560790301437,5562.72780923634,88155888684.1136,54251053875.04273,-2847.8661764448225,0.685,142406939711.97516,377368.44027021545
0.00018104134025210387,5522.60029265956,85640028500.61813,53085667878.03032,-2806.934737762328,0.685,138725693572.3987,372458.98240262474
0.00018235655840641217,5482.762189519569,83195967859.47185,51945315948.100945,-2766.59159311081,0.685,135141281041.66618,367615.67028850416
0.00018368133127784228,5443.211412467214,80821657690.4138,50829460319.64173,-2726.8282871347196,0.685,131651115283.91225,362837.5880251552
0.00018501572827892354,5403.945889208043,78515107401.11871,49737574778.97284,-2687.6364860045564,0.685,128252679493.14006,358123.83262377285
0.00018635981932644985,5364.963562393683,76274383208.30663,48669144416.19536,-2649.007975670177,0.685,124943524976.179,353473.5138255468
0.00018771367484514217,5326.262389514074,74097606516.48445,47623665382.37146,-2610.934660139271,0.685,121721269288.60625,348885.7539204005
0.00018907736577133876,5287.840342790436,71982952342.9541,46600644651.919754,-2573.4085597805447,0.685,118583594422.1503,344359.68756831903
0.00019045096355671182,5249.695409069031,69928647787.7699,45599599790.11512,-2536.421809651311,0.685,115528245042.1482,339894.46162323415
0.00019183454017201136,5211.825589715672,67932970547.36078,44620058725.58261,-2499.9666578490983,0.685,112553026773.66173,335489.23495942715
0.00019322816811083617,5174.228900511014,65994247470.57247,43661559527.678795,-2464.0354638869685,0.685,109655804534.9008,331143.1783004156
0.00019463192039343208,5136.9033715465785,64110853155.91815,42723650188.65508,-2428.6206970921726,0.685,106834500916.63754,326855.4740502866
0.000196045870570518,5099.847047121549,62281208588.862,41805888410.50059,-2393.7149350278332,0.685,104087094606.33264,322625.31612744316
0.00019747009272713965,5063.057985640289,60503779817.99272,40907841396.363716,-2359.310861937301,0.685,101411618855.73058,318451.9098007273
0.0001989046614865513,5026.534259510624,58777076668.977875,40029085646.45453,-2325.4012672108797,0.685,98806159990.71614,314334.4715278872
0.0002003496520141257,4990.2739550428305,57099651495.21989,39169206758.33124,-2291.979043874579,0.685,96268855962.25706,310272.22879635403
