redshift_z,comoving_distance_Gly,E_z
0.00913272488740505,0.1322047862100894,1.0043461571242962
0.00923854337550473,0.13373324540176046,1.0043968676338189
0.009345587954673804,0.13527933592889474,1.004448173930873
0.00945387283130794,0.13684326024628543,1.0045000831101256
0.009563412376408578,0.13842522311158623,1.004552602352906
0.00967422112749019,0.1400254316109877,1.0046057389283127
0.009786313790509612,0.14164409518516763,1.0046595001943373
0.009899705241817745,0.1432814256555177,1.004713893599002
0.010014410530133867,0.14493763725064954,1.0047689266815156
0.010130444878542819,0.1466129466331821,1.0048246070734423
0.010247823686515334,0.14830757292681407,1.004880942499889
0.010366562531951775,0.15002173774368274,1.0049379407807078
0.01048667717324955,0.15175566521201317,1.0049956098317154
0.010608183551394482,0.15350958200405962,1.005053957665931
0.010731097792076422,0.1552837173643425,1.0051129923948283
0.010855436207829354,0.15707830313818286,1.0051727222296085
0.01098121530019632,0.15889357380053823,1.0052331554824883
0.011108451761919417,0.16072976648514176,1.0052943005680073
0.01123716247915515,0.1625871210139472,1.0053561660043535
0.011367364533715505,0.16446587992688425,1.0054187604147078
0.011499075205334944,0.16636628851192464,1.005482092528606
0.011632311973963675,0.16828859483546382,1.0055461711833216
0.011767092522087508,0.1702330497730201,1.0056110053252676
0.011903434737074578,0.1721999070402541,1.0056766040114178
0.01204135671354926,0.1741894232243121,1.0057429764107477
0.0121808767557936,0.17620185781549555,1.0058101318056973
0.01232201338017656,0.17823747323925954,1.0058780795936537
0.01246478531761141,0.18029653488854383,1.005946829288455
0.012609211516041602,0.1823793111564388,1.0060163905219155
0.012755311142955437,0.18448607346918955,1.0060867730453715
0.01290310358792988,0.18661709631954088,1.0061579867312531
0.013052608465203834,0.18877265730042636,1.0062300415746732
0.013203845616281247,0.19095303713900438,1.0063029476950436
0.013356835112564372,0.19315851973104423,1.0063767153377112
0.01351159725801753,0.19538939217566478,1.0064513548756207
0.013668152591861757,0.19764594481042988,1.0065268768109983
0.013826521891300653,0.19992847124680194,1.006603291777062
0.01398672617427783,0.2022372684059582,1.006680610539755
0.014148786702266297,0.20457263655497177,1.0067588439995057
0.01431272498309018,0.2069348793433608,1.006838003193012
0.014478562773779112,0.2093243038400091,1.006918099295052
0.014646322083455737,0.21174122057046077,1.0069991436203214
0.014816025176256619,0.21418594355459214,1.007081147625297
0.014987694574287037,0.21665879034466434,1.0071641229101278
0.015161353060609999,0.21916008206375917,1.0072480812205535
0.015337023682269888,0.22169014344460164,1.0073330344498528
0.015514729753351145,0.22424930286877207,1.0074189946408165
0.015694494858072394,0.22683789240631091,1.0075059739877543
0.01587634285391642,0.22945624785571972,1.0075939848385271
0.016060297874796386,0.2321047087843603,1.0076830396966125
0.016246384334258793,0.23478361856925695,1.0077731512231987
0.016434626928723505,0.237493324438303,1.0078643322393097
0.016625050640761318,0.24023417751187578,1.0079565957279637
0.016817680742409524,0.24300653284486282,1.0080499548363615
0.017012542798525893,0.24581074946910278,1.0081444228781082
0.01720966267018148,0.24864719043624323,1.0082400133354694
0.017409066518092806,0.25151622286101966,1.008336739861659
0.017610780806093736,0.2544182179649573,1.0084346162831617
0.017814832304647657,0.2573535511205006,1.0085336566020926
0.01802124809440028,0.2603226018955715,1.0086338749985886
0.018230055569773654,0.2633257540985607,1.008735285833239
0.018441282442601823,0.26636339582375534,1.0088379036495516
0.018654956745808582,0.2694359194972048,1.0089417431764545
0.01887110683712785,0.2725437219230282,1.0090468193308388
0.019089761402867184,0.2756872043301678,1.0091531472201374
0.01931094946171486,0.27886677241958885,1.009260742144945
0.01953470036859109,0.2820828364119311,1.009369619601675
0.019761043818543832,0.2853358110956135,1.0094797952852606
0.019990009850689796,0.2886261158753961,1.0095912850918942
0.02022162885220104,0.29195417482140074,1.0097041051218105
0.020455931562337836,0.29532041671859477,1.0098182716821116
0.020692949076528185,0.2987252751167394,1.009933801289635
0.020932712850494667,0.3021691883808068,1.0100507106738676
0.021175254704429068,0.30565259974186765,1.0101690167799022
0.021420606827215388,0.309175957348452,1.0102887367714408
0.02166880178070179,0.31273971431838726,1.0104098880338455
0.021919872504022022,0.31634432879111474,1.0105324881772344
0.02217385231796695,0.319990263980488,1.0106565550396283
0.022430774929406688,0.32367798822805544,1.0107821066901432
0.02269067443576403,0.3274079750568299,1.0109091614322356
0.022953585329539658,0.33118070322554805,1.011037737806997
0.023219542502889823,0.3349966567834212,1.0111678545964995
0.02348858125225701,0.3388563251253804,1.0112995308271953
0.023760737283054355,0.34276020304781957,1.0114327857733691
