rank,repository,owner,name,description,html_url,clone_url,default_branch,language,stars,forks,watchers,open_issues,size_kb,archived,updated_at,created_at,matched_categories,matched_queries,category,interest_score
12,JWST-Templates/Notebooks,JWST-Templates,Notebooks,"Notebooks released by the JWST ERS TEMPLATES team, to reduce and analyze JWST data",https://github.com/JWST-Templates/Notebooks,https://github.com/JWST-Templates/Notebooks.git,main,Jupyter Notebook,17,1,17,0,4237,False,2026-05-21T12:34:19Z,2022-09-01T13:12:43Z,notebooks;templates,JWST notebook || JWST templates notebooks,general JWST,32.317
13,STScI-MIRI/MRS-ExampleNB,STScI-MIRI,MRS-ExampleNB,Example notebooks for processing MRS data with the JWST pipeline,https://github.com/STScI-MIRI/MRS-ExampleNB,https://github.com/STScI-MIRI/MRS-ExampleNB.git,main,Jupyter Notebook,11,2,11,2,5486,False,2026-07-10T11:08:12Z,2021-05-24T21:22:32Z,notebooks;pipeline_notebooks,JWST notebook || JWST pipeline notebooks,MIRI examples,31.725
14,STScI-MIRI/Imaging_ExampleNB,STScI-MIRI,Imaging_ExampleNB,Example Notebooks for processing MIRI Imaging data with the JWST pipeline,https://github.com/STScI-MIRI/Imaging_ExampleNB,https://github.com/STScI-MIRI/Imaging_ExampleNB.git,main,Jupyter Notebook,12,0,12,0,65192,False,2026-06-15T20:13:37Z,2022-07-15T11:43:01Z,miri;notebooks;pipeline_notebooks,JWST MIRI notebook || JWST notebook || JWST pipeline notebooks || MIRI ExampleNB JWST,MIRI examples,31.612
15,spacetelescope/astroimtools,spacetelescope,astroimtools,Astronomical Image Convenience Tools,https://github.com/spacetelescope/astroimtools,https://github.com/spacetelescope/astroimtools.git,main,Python,16,11,16,1,33538,False,2026-07-01T21:38:39Z,2015-03-09T15:57:08Z,official_pipeline,org:spacetelescope jwst python,general JWST,31.376
16,mperrin/webbpsf,mperrin,webbpsf,James Webb Space Telescope PSF simulation tool - NOTE THIS VERSION OF REPO IS SUPERCEDED BY spacetelescope/webbpsf,https://github.com/mperrin/webbpsf,https://github.com/mperrin/webbpsf.git,master,Jupyter Notebook,16,13,16,14,117073,False,2021-12-09T21:32:53Z,2012-05-02T19:09:35Z,official_pipeline;psf,JWST PSF webbpsf || JWST python,PSF modeling,28.12
17,spacetelescope/jwst-apt-tools,spacetelescope,jwst-apt-tools,Python tools for APT for JWST,https://github.com/spacetelescope/jwst-apt-tools,https://github.com/spacetelescope/jwst-apt-tools.git,master,Python,4,2,4,3,379,False,2023-09-04T11:07:52Z,2017-02-23T15:49:10Z,official_pipeline,org:spacetelescope jwst python,general JWST,27.904
18,JarronL/pynrc,JarronL,pynrc,Python ETC and Simulator for JWST NIRCam,https://github.com/JarronL/pynrc,https://github.com/JarronL/pynrc.git,develop,Jupyter Notebook,3,8,3,16,660423,False,2025-10-24T18:36:58Z,2017-01-06T21:01:27Z,nircam;official_pipeline;psf,JWST NIRCam python || JWST python || pynrc JWST NIRCam,NIRCam / PSF,27.897
19,spacetelescope/jwst_footprints,spacetelescope,jwst_footprints,"[DEPRECATED] The JWST NIRSpec Observation Visualization Tool (NOVT) is a Python application that can display the NIRSpec and/or NIRCam instruments' fields of view (footprints) on a given sky position in DS9, to assist in planning NIRCam pre-imaging for NIRSpec.",https://github.com/spacetelescope/jwst_footprints,https://github.com/spacetelescope/jwst_footprints.git,master,Python,1,8,1,5,649,False,2024-06-02T20:52:09Z,2017-06-02T20:17:54Z,footprints;nircam;nirspec;official_pipeline,JWST NIRCam python || JWST NIRSpec python || JWST footprints || org:spacetelescope jwst python,NIRCam / PSF,26.783
20,spacetelescope/aas229_workshop,spacetelescope,aas229_workshop,Using Python for Astronomical Data Analysis in the Era of JWST (Winter AAS 2017),https://github.com/spacetelescope/aas229_workshop,https://github.com/spacetelescope/aas229_workshop.git,master,Jupyter Notebook,10,10,10,4,11040,True,2025-02-07T13:56:46Z,2016-10-03T15:12:24Z,official_pipeline,JWST python || org:spacetelescope jwst python,general JWST,25.457
21,spacetelescope/cubeviz,spacetelescope,cubeviz,Data analysis package for cubes. https://cubeviz.readthedocs.io/en/latest/,https://github.com/spacetelescope/cubeviz,https://github.com/spacetelescope/cubeviz.git,master,Python,15,25,15,0,75070,True,2024-06-02T20:50:12Z,2015-05-26T15:29:57Z,official_pipeline,JWST python || org:spacetelescope jwst python,general JWST,24.549
