mass_Msun,mass_kg,schwarzschild_radius_km,schwarzschild_radius_AU,hawking_temperature_K,temperature_relative_to_CMB
6.88413064733e-18,13688887268296.285,2.0331174152053243e-17,1.359055049174122e-25,8962749460.898813,3288478980.3334484
7.085235897034128e-18,14088779024175.453,2.092510620594484e-17,1.3987569547635842e-25,8708353418.96546,3195139761.1320715
7.292216009306972e-18,14500352768026.635,2.153638872282485e-17,1.4396186671676237e-25,8461178079.388488,3104449854.848097
7.505242605775834e-18,14923949764307.072,2.216552855960401e-17,1.4816740676780241e-25,8221018491.878027,3016334064.16365
7.724492321629208e-18,15359921246790.031,2.2813047379940755e-17,1.524958027356519e-25,7987675523.392891,2930719326.1393843
7.950146952077123e-18,15808628709796.797,2.3479482086788324e-17,1.569506435948779e-25,7760955693.025712,2847534651.6329894
8.182393603090583e-18,16270444207937.531,2.4165385267579523e-17,1.615356231643177e-25,7540671011.574032,2766711066.436996
8.421424846543989e-18,16745750664607.326,2.4871325652414882e-17,1.6625454316987738e-25,7326638825.665576,2688181554.087535
8.667438879889672e-18,17234942189494.215,2.55978885856358e-17,1.711113163968035e-25,7118681666.307793,2611881000.2963834
8.920639690497621e-18,17738424405363.805,2.6345676511175512e-17,1.7610996993405411e-25,6916627101.73558,2537746138.960037
9.18123722479534e-18,18256614784388.79,2.711530947208649e-17,1.8125464851343296e-25,6720307594.436362,2465715499.7014723
9.449447562349206e-18,18789942994304.527,2.790742562466178e-17,1.8654961794627855e-25,6529560362.232929,2395729356.9007263
9.725493095030779e-18,19338851254675.85,2.872268176757389e-17,1.919992686605391e-25,6344227243.309629,2327729680.1723094
1.0009602711417846e-17,19903794703573.043,2.956175388647373e-17,1.9760811934119147e-25,6164154565.069061,2261660086.2480507
1.0302011986581665e-17,20485241774958.043,3.042533771449667e-17,2.0338082067699292e-25,5989193016.711585,2197465792.2258615
1.060296337741841e-17,21083674587095.188,3.1314149309142634e-17,2.093221592166862e-25,5819197525.431492,2135093570.1454751
1.0912706423687565e-17,21699589342310.01,3.2228925646010686e-17,2.154370613378703e-25,5654027136.126729,2074491702.853322
1.1231497954922477e-17,22333496738424.7,3.317042522987616e-17,2.217305973317985e-25,5493544894.523361,2015609941.120294
1.1559602303385341e-17,22985922392212.65,3.413942872361893e-17,2.282079856075046e-25,5337617733.617384,1958399461.976659
1.1897291523244014e-17,23657407275225.023,3.513673959552698e-17,2.3487459701875945e-25,5186116363.339319,1902812828.229433
1.224484561615083e-17,24348508162347.44,3.6163184785507214e-17,2.417359593174157e-25,5038915163.350961,1848803949.128953
1.2602552763411155e-17,25059798093460.18,3.721961539075793e-17,2.487977617368449e-25,4895892078.884921,1796328042.15187
1.2970709564935178e-17,25791866848586.652,3.8306907371474605e-17,2.5606585970928935e-25,4756928519.540273,1745341595.8687482
1.3349621285169266e-17,26545321436920.53,3.942596227716865e-17,2.635462797210031e-25,4621909260.951116,1695802333.8657553
